unit_id,model,question_id,template,gold_type,question,gold_item,relation_asked,gold_edge,full_gold_set,model_answer,human_asserted,human_required_or_alternative,human_confidence,human_quote,human_notes
llama-3.3-70b|q0360|3,llama-3.3-70b,q0360,T-REL,all,"According to the DreamLab knowledge graph, what does Metaverse Ontology enable?",Semantic Web Linked Data Standard,enables (enables),Metaverse Ontology --enables--> Semantic Web Linked Data Standard,Metaverse | Knowledge Graphing | Cross-Platform Interoperability | Semantic Web Linked Data Standard,"According to the provided ontology context, the Metaverse Ontology enables:

1. Metaverse
2. Knowledge Graphing
3. Cross-Platform Interoperability

It also supports:

1. Decentralized Identity
2. Digital Ownership
3. Agentic AI",,,,,
gpt-4.1-mini|q0097|2,gpt-4.1-mini,q0097,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Transaction? Also name up to three broader ancestor concepts.",Distributed Data Structure,subClassOf (immediate parent concept),Transaction --subClassOf--> Distributed Data Structure,Protocol and Consensus | Blockchain Entity | Distributed Data Structure,"In the DreamLab knowledge graph, the immediate parent concept of Transaction is **Blockchain Entity**.

Up to three broader ancestor concepts of Transaction are:
1. Network Component (Blockchain)
2. Blockchain
3. (No further broader ancestors explicitly listed beyond Blockchain in the provided context)",,,,,
deepseek-chat|q0164|3,deepseek-chat,q0164,T-REL,all,"According to the DreamLab knowledge graph, what does Knowledge Sharing use?",Semantic Search,uses (uses),Knowledge Sharing --uses--> Semantic Search,Collaborative Technology | Virtual Environment | Natural Language Processing | Semantic Search,"Based on the DreamLab knowledge graph, Knowledge Sharing **uses** the following:

- **Collaborative Technology**
- **Virtual Environment**
- **Natural Language Processing**",,,,,
glm-4.6|q0092|1,glm-4.6,q0092,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Spot Trading?",Limit Order,hasPart (has part),Spot Trading --hasPart--> Limit Order,Order Book | Limit Order,"According to the DreamLab knowledge graph, the parts of Spot Trading are:

*   **Order Book**: An order book is a real-time, continuously updated electronic ledger that aggregates all outstanding limit buy orders (bids) and limit sell orders (asks) for a tradeable asset, organised by price level and, within each…
*   **Limit Order**: A limit order is an instruction to buy or sell an asset at a specified price or better, remaining unfilled until the market reaches that price rather than executing immediately at the prevailing market price.",,,,,
gemini-3.7-flash-t0|q0427|0,gemini-3.7-flash,q0427,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Privacy-Preserving Computation?",Homomorphic Encryption,hasPart (has part),Privacy-Preserving Computation --hasPart--> Homomorphic Encryption,Homomorphic Encryption | Secure Multi-Party Computation | Differential Privacy | Trusted Execution Environment,"According to the DreamLab knowledge graph, the parts (`hasPart`) of **Privacy-Preserving Computation** are:

* **Homomorphic Encryption**
* **Secure Multi-Party Computation**
* **Differential Privacy**",,,,,
mistral-small-24b|q0360|3,mistral-small-24b,q0360,T-REL,all,"According to the DreamLab knowledge graph, what does Metaverse Ontology enable?",Semantic Web Linked Data Standard,enables (enables),Metaverse Ontology --enables--> Semantic Web Linked Data Standard,Metaverse | Knowledge Graphing | Cross-Platform Interoperability | Semantic Web Linked Data Standard,"According to the provided ontology context, the Metaverse Ontology enables the following:

- Metaverse
- Knowledge Graphing
- Cross-Platform Interoperability",,,,,
gemini-3.5-flash-lite|q0064|0,gemini-3.5-flash-lite,q0064,T-REL,all,"According to the DreamLab knowledge graph, what does Token Embedding depend on?",Backpropagation,dependsOn (depends on),Token Embedding --dependsOn--> Backpropagation,Backpropagation | Gradient Descent,"According to the ontology context, **Token Embedding** depends on:

* **Backpropagation**
* **Gradient Descent**",,,,,
gpt-4.1-mini|q0129|2,gpt-4.1-mini,q0129,T-REL,all,"According to the DreamLab knowledge graph, what does Metadata use?",Controlled Vocabulary,uses (uses),Metadata --uses--> Controlled Vocabulary,Data Schema | Data Standards | Controlled Vocabulary | RDF,"According to the DreamLab knowledge graph, Metadata uses Data Schema and Data Standards.",,,,,
qwen-2.5-72b|q0010|2,qwen-2.5-72b,q0010,T-REL,all,"According to the DreamLab knowledge graph, what does Autonomous Behavior enable?",Swarm Intelligence,enables (enables),Autonomous Behavior --enables--> Swarm Intelligence,Autonomous Agent | Autonomous Task Execution | Swarm Intelligence | Multi-Agent Systems,"According to the DreamLab knowledge graph, Autonomous Behavior enables the following:

- **Autonomous Agent**: An entity that can operate independently to achieve its goals.
- **Autonomous Task Execution**: The capability to perform tasks without continuous human intervention.
- **Swarm Intelligence**: The collective behavior of decentralized, self-organized systems, often seen in groups of robots or agents working together.",,,,,
gpt-4.1-mini|q0072|1,gpt-4.1-mini,q0072,T-REL,all,"According to the DreamLab knowledge graph, what does Across Protocol depend on?",Layer 2 Solutions,dependsOn (depends on),Across Protocol --dependsOn--> Layer 2 Solutions,Ethereum Smart Contract Platform | Layer 2 Solutions,"According to the DreamLab knowledge graph, Across Protocol depends on the Ethereum Smart Contract Platform and Layer 2 Solutions.",,,,,
claude-haiku-4.5|q0287|1,claude-haiku-4.5,q0287,T-REL,all,"According to the DreamLab knowledge graph, what does Content Identifier use?",IPLD,uses (uses),Content Identifier --uses--> IPLD,Multihash | IPLD | Merkle DAG | Multicodec | Multibase,"According to the ontology context provided, a **Content Identifier (CID) uses**:

1. **Multihash** - A compact, version-aware multihash structure
2. **IPLD** - InterPlanetary Linked Data
3. **Merkle DAG** - Merkle Directed Acyclic Graph

These components work together to enable CIDs to self-describe and cryptographically derive labels that uniquely identify and verify content through its hash, encoding the hash function used, the hash digest, and a multicodec descriptor for the serialised data format.",,,,,
claude-haiku-4.5|q0001|4,claude-haiku-4.5,q0001,T-REL,all,"According to the DreamLab knowledge graph, what does Affective Computing enable?",Human Robot Interaction,enables (enables),Affective Computing --enables--> Human Robot Interaction,Emotion Aware Interaction | Emotional Analytics Engine | Cognitive Feedback Interface | Mental Health Monitoring | Human Robot Interaction,"According to the ontology context provided from the knowledge graph, **Affective Computing enables:**

1. **Emotion Aware Interaction** - Systems that can adapt their behavior based on detected emotional states
2. **Emotional Analytics Engine** - Capabilities to analyze and process emotional data
3. **Cognitive Feedback Interface** - Interfaces that can provide feedback informed by cognitive and emotional understanding

Additionally, the related concept of **Affective Computing System** enables:

1. **Adaptive Interfaces** - User interfaces that adjust based on emotional states
2. **Adaptive Learning** - Learning systems that respond to user affect
3. **Emotion Aware Interaction** (also listed here)

These capabilities reflect the core goal of affective computing: to make human-computer interaction more natural, intuitive, and context-sensitive by treating emotion as a fundamental computational variable that systems can recognize, interpret, and respond to.",,,,,
gpt-4.1-mini|q0340|2,gpt-4.1-mini,q0340,T-REL,all,"According to the DreamLab knowledge graph, what does Reinforcement Learning enable?",AI Game Agent,enables (enables),Reinforcement Learning --enables--> AI Game Agent,Autonomous Navigation | Autonomous Robot | AI Game Agent | Recommendation System,"According to the DreamLab knowledge graph, Reinforcement Learning enables Autonomous Navigation, Autonomous Robot, and AI Game Agent.",,,,,
gemini-3.5-flash-lite|q0149|3,gemini-3.5-flash-lite,q0149,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Collaboration Platform?",Workflow Automation,hasPart (has part),Collaboration Platform --hasPart--> Workflow Automation,Real Time Messaging | Video Conferencing | tc 0002 collaborative document editing | Workflow Automation,"According to the ontology context provided, the parts (`hasPart`) of a **Collaboration Platform** are:

* Real Time Messaging
* Video Conferencing
* Collaborative document editing (`tc 0002 collaborative document editing`)",,,,,
gemini-3.5-flash-lite|q0255|2,gemini-3.5-flash-lite,q0255,T-REL,all,"According to the DreamLab knowledge graph, what does Compliance require?",Audit Trail,requires (requires),Compliance --requires--> Audit Trail,Audit | Risk Assessment | Audit Trail | Policy,"Based on the provided ontology context, **Compliance** requires:

* **Audit**
* **Risk Assessment**
* **Audit Trail**",,,,,
llama-3.3-70b|q0210|3,llama-3.3-70b,q0210,T-REL,all,"According to the DreamLab knowledge graph, what does State Machine Replication require?",Deterministic Execution,requires (requires),State Machine Replication --requires--> Deterministic Execution,Consensus Mechanism | Fault Tolerance | Total Order Broadcast | Deterministic Execution,"According to the provided ontology context from the DreamLab knowledge graph, State Machine Replication (SMR) requires:

1. Consensus Mechanism
2. Fault Tolerance
3. Total Order Broadcast",,,,,
gemini-3.5-flash-lite|q0355|0,gemini-3.5-flash-lite,q0355,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Hardware Security? Also name up to three broader ancestor concepts.",Computer Hardware,subClassOf (immediate parent concept),Hardware Security --subClassOf--> Computer Hardware,Computer Hardware,"Based on the provided ontology context:

* **Immediate parent concept:** **Computer Hardware** (indicated by the `is-a` relation).
* **Broader ancestor concepts:** **AI Infrastructure**, **Digital Infrastructure**, and **Computing and Cloud** (listed under ancestors).",,,,,
gemini-2.5-flash-lite|q0502|0,gemini-2.5-flash-lite,q0502,T-REL,all,"According to the DreamLab knowledge graph, what does Technical Committee require?",Standards Organization,requires (requires),Technical Committee --requires--> Standards Organization,Standards Organization | Interoperability,The DreamLab knowledge graph indicates that a Technical Committee requires a **Standards Organization** and **Interoperability**.,,,,,
claude-haiku-4.5|q0047|4,claude-haiku-4.5,q0047,T-REL,all,"According to the DreamLab knowledge graph, what does Encoder Decoder Architecture enable?",Speech Recognition,enables (enables),Encoder Decoder Architecture --enables--> Speech Recognition,Natural Language Processing | Machine Translation | Text Summarisation | Image Captioning | Speech Recognition,"According to the DreamLab knowledge graph, **Encoder Decoder Architecture enables:**

1. **Natural Language Processing**
2. **Machine Translation**
3. **Text Summarisation**

These capabilities reflect the architecture's core strength in handling sequence-to-sequence tasks, where an input sequence is compressed into a latent representation by the encoder and then expanded into an output sequence by the decoder.",,,,,
gemini-2.5-flash-lite|q0047|3,gemini-2.5-flash-lite,q0047,T-REL,all,"According to the DreamLab knowledge graph, what does Encoder Decoder Architecture enable?",Image Captioning,enables (enables),Encoder Decoder Architecture --enables--> Image Captioning,Natural Language Processing | Machine Translation | Text Summarisation | Image Captioning | Speech Recognition,"The Encoder Decoder Architecture enables:

*   Natural Language Processing
*   Machine Translation
*   Text Summarisation",,,,,
deepseek-chat|q0004|0,deepseek-chat,q0004,T-REL,all,"According to the DreamLab knowledge graph, what does Artificial Intelligence Core enable?",Artificial General Intelligence,enables (enables),Artificial Intelligence Core --enables--> Artificial General Intelligence,Artificial General Intelligence | Agentic AI | Foundation Model | Multimodal AI,"Based on the DreamLab knowledge graph, **Artificial Intelligence Core** enables the following:

- **Artificial General Intelligence**
- **Agentic AI**
- **Foundation Model**",,,,,
mistral-small-24b|q0089|3,mistral-small-24b,q0089,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of ISO 22739?",Digital Identity,hasPart (has part),ISO 22739 --hasPart--> Digital Identity,Smart Contract | Distributed Ledger | Cryptographic Key | Digital Identity,"According to the provided ontology context, the parts of ISO 22739 are:

- Smart Contract
- Distributed Ledger
- Cryptographic Key",,,,,
gemini-2.5-flash-lite|q0017|4,gemini-2.5-flash-lite,q0017,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Customer Experience Management?",Service Design,hasPart (has part),Customer Experience Management --hasPart--> Service Design,Omnichannel | Sentiment Analysis | Predictive Personalization | Customer Service Automation | Service Design,"According to the DreamLab knowledge graph, the parts of Customer Experience Management (CEM or CXM) are:

*   **Omnichannel**
*   **Sentiment Analysis**
*   **Predictive Personalization**",,,,,
gemini-2.5-flash-lite|q0110|1,gemini-2.5-flash-lite,q0110,T-REL,all,"According to the DreamLab knowledge graph, what does Climate Modelling enable?",SustainabilityReporting,enables (enables),Climate Modelling --enables--> SustainabilityReporting,Carbon Footprint Measurement | SustainabilityReporting | Carbon Neutrality Planning | Climate Risk Assessment,"According to the DreamLab knowledge graph, Climate Modelling enables:

*   Carbon Footprint Measurement
*   Sustainability Reporting
*   Carbon Neutrality Planning",,,,,
deepseek-chat|q0048|4,deepseek-chat,q0048,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Encoder Decoder Architecture?",Feed Forward Network,hasPart (has part),Encoder Decoder Architecture --hasPart--> Feed Forward Network,Self Attention | Cross Attention | Token Embedding | Positional Encoding | Feed Forward Network,"Based on the DreamLab knowledge graph, the parts of the Encoder Decoder Architecture are:

- **Self Attention**
- **Cross Attention**
- **Token Embedding**",,,,,
glm-4.6|q0455|0,glm-4.6,q0455,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Ownership and Freedom Distributed? Also name up to three broader ancestor concepts.",Governance and Safety,subClassOf (immediate parent concept),Ownership and Freedom Distributed --subClassOf--> Governance and Safety,Governance and Safety | Metaverse governance and safeguarding,"Based on the provided ontology context for the DreamLab knowledge graph:

*   **Immediate Parent Concepts:** The immediate parent concepts of ""Ownership and Freedom Distributed"" are **Governance and Safety** and **Metaverse governance and safeguarding**.
*   **Broader Ancestor Concept:** A broader ancestor concept is **Spatial Computing**.",,,,,
deepseek-chat|q0503|0,deepseek-chat,q0503,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Technical Committee? Also name up to three broader ancestor concepts.",Standards Organization,subClassOf (immediate parent concept),Technical Committee --subClassOf--> Standards Organization,Standards Organization,"Based on the ontology context provided, the immediate parent concept of **Technical Committee** is **Standards Organization**.

Up to three broader ancestor concepts are:
1. **AI Governance and Ethics**
2. **Artificial Intelligence**",,,,,
llama-3.3-70b|q0442|1,llama-3.3-70b,q0442,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of ETSI_Domain_Virtual_Society?",Avatar,hasPart (has part),ETSI_Domain_Virtual_Society --hasPart--> Avatar,Virtual World | Avatar | Digital Identity,"According to the provided ontology context, the parts of ETSI_Domain_Virtual_Society are:

1. Virtual World
2. Avatar
3. Digital Identity",,,,,
gemini-2.5-flash-lite|q0366|0,gemini-2.5-flash-lite,q0366,T-TAX,all,"In the DreamLab knowledge graph, what is the immediate parent concept of Swarm Control? Also name up to three broader ancestor concepts.",Robotics,subClassOf (immediate parent concept),Swarm Control --subClassOf--> Robotics,Robotics | Actuation and Control,"The immediate parent concept of Swarm Control is **Robotics, Actuation and Control**.

Three broader ancestor concepts are:
*   Robotics
*   Actuation
*   Control",,,,,
mistral-small-24b|q0453|1,mistral-small-24b,q0453,T-REL,all,"According to the DreamLab knowledge graph, what does Ownership and Freedom Distributed enable?",Data Sovereignty,enables (enables),Ownership and Freedom Distributed --enables--> Data Sovereignty,Self Sovereign Identity | Data Sovereignty | Decentralized Governance,"According to the provided ontology context, ""Ownership and Freedom Distributed"" enables the following:

- Self Sovereign Identity
- Data Sovereignty
- Decentralized Governance",,,,,
llama-3.3-70b|q0160|1,llama-3.3-70b,q0160,T-REL,all,"According to the DreamLab knowledge graph, what does GitHub use?",REST API,uses (uses),GitHub --uses--> REST API,OAuth | REST API | GraphQL | Webhook,"According to the provided ontology context, GitHub uses:

1. OAuth
2. REST API
3. GraphQL
4. Git
5. Internet Infrastructure",,,,,
glm-4.6|q0460|1,glm-4.6,q0460,T-REL,all,"According to the DreamLab knowledge graph, what are the parts of Storage Hardware?",Storage Layer,hasPart (has part),Storage Hardware --hasPart--> Storage Layer,Data Storage Layer | Storage Layer,"
According to the provided ontology context, the parts of Storage Hardware are:

*   **Data Storage Layer**
*   **Storage Layer**

The ontology provides the following definitions for these components:

*   **Data Storage Layer:** A software layer managing persistent storage, retrieval, and lifecycle of digital assets, metadata, world state, user data, and transactional records in metaverse systems.
*   **Storage Layer:** Hardware and software infrastructure responsible for persistent retention, retrieval, and management of data and digital assets across distributed systems.",,,,,
